facility_id,drug,district,state,current_days_of_cover,current_stock,trend_slope_56d,is_structural_decline,trust_score,risk_probability,risk_level
FAC0001,Isoniazid,Sarguja,Chhattisgarh,41.87918812034106,573.9925767389448,0.00015848733191212955,False,0.9468394003058159,0.001592941750087969,low
FAC0001,Rifampicin,Sarguja,Chhattisgarh,45.38890150124421,611.4054932775665,0.00012344726921473153,False,0.9715143984890526,0.002922715424401609,low
FAC0001,Ethambutol,Sarguja,Chhattisgarh,2.822455695185778,47.392350751214565,-0.0016793082828344564,False,0.9355479151105577,0.005035502155672994,low
FAC0001,Pyrazinamide,Sarguja,Chhattisgarh,66.231285324231,1790.7253989336866,-0.001181405285753108,False,0.9698470966819951,0.0018087529930174407,low
FAC0001,Amoxicillin,Sarguja,Chhattisgarh,39.025092393214216,778.4258738605826,-0.0008412290482166192,False,0.9476537200252813,0.0036459774750912765,low
FAC0001,Ciprofloxacin,Sarguja,Chhattisgarh,18.269162781908854,412.0623219823133,-0.0005601811122952358,False,0.9563774212261902,0.001920697221855157,low
FAC0001,Metronidazole,Sarguja,Chhattisgarh,0.0,0.0,-0.0008752450826971605,False,0.9654001912901566,0.9989776970258107,critical
FAC0001,Azithromycin,Sarguja,Chhattisgarh,44.77988167952627,1138.4565476178109,-0.00022743567413089142,False,0.940744842974541,0.0016822714461229363,low
FAC0001,Doxycycline,Sarguja,Chhattisgarh,27.342160476929266,406.66673898117307,-0.0007249224880890027,False,0.9439951607186625,0.9989499124544557,critical
FAC0001,Paracetamol,Sarguja,Chhattisgarh,22.636267760544204,575.584748170721,-0.00046782540822454775,False,0.9515584833883229,0.001644491923867851,low
FAC0001,Ibuprofen,Sarguja,Chhattisgarh,29.736804100437382,325.31534964475225,-0.00021557004594319697,False,0.9610596582285408,0.0017173851221956348,low
FAC0001,Diclofenac,Sarguja,Chhattisgarh,31.389484540065897,394.8992965991365,-0.0010624927365872833,False,0.9586583733551013,0.0018109485906974423,low
FAC0001,Oral rehydration salts,Sarguja,Chhattisgarh,0.0,0.0,-0.0011064018358311984,False,0.9470040302610653,0.9990014574584685,critical
FAC0001,Ringer lactate,Sarguja,Chhattisgarh,0.0,0.0,-0.0015411583252651737,False,0.9337280153923582,0.9989274045379775,critical
FAC0001,Metformin,Sarguja,Chhattisgarh,0.0,0.0,-0.001087390173377218,False,0.9516648878765246,0.998960121349353,critical
FAC0001,Amlodipine,Sarguja,Chhattisgarh,65.7833713634096,1556.7885790952853,-0.0002874588761317193,False,0.9456258070932075,0.0031131399009445494,low
FAC0001,Atenolol,Sarguja,Chhattisgarh,43.22454429231024,779.0799232201459,-0.0005186139037444121,False,0.9564887537648377,0.004441695817928003,low
FAC0001,Oxytocin,Sarguja,Chhattisgarh,53.49781086989421,1445.2307935273511,0.0011814575098131651,False,0.9737374353596728,0.0018136807318770939,low
FAC0001,Snake Venom Antiserum,Sarguja,Chhattisgarh,65.86946439632949,679.2005405523129,-0.003723026861449576,False,0.9476231767852845,0.009261227061991797,low
