facility_id,own_stress,propagated_stress
FAC0001,0.9996961230586593,1.0
FAC0002,0.9996632697127916,1.0
FAC0003,0.9996309458314213,1.0
FAC0004,0.9996511084361033,1.0
FAC0005,0.9996309458314213,1.0
FAC0006,0.9996923044744565,1.0
FAC0007,0.9996012554855177,1.0
FAC0008,0.9997152401870787,1.0
FAC0009,0.9996961116242716,1.0
FAC0010,0.9997319420342096,1.0
FAC0011,0.9997416457538915,1.0
FAC0012,0.9997313186817897,1.0
FAC0013,0.9996106824927122,1.0
FAC0014,0.9996362730405863,1.0
FAC0015,0.9996185655519757,1.0
FAC0016,0.9997313186817897,1.0
FAC0017,0.9997313186817897,1.0
FAC0018,0.9996961230586593,1.0
FAC0019,0.9997319420342096,1.0
FAC0020,0.9997291802120716,1.0
FAC0021,0.9997152509019223,1.0
FAC0022,0.9996514373847486,1.0
FAC0023,0.999678274003564,1.0
FAC0024,0.9997017694946141,1.0
FAC0025,0.9996476586900547,1.0
FAC0026,0.99970541242789,1.0
FAC0027,0.9997017694946141,1.0
FAC0028,0.99963972572907,1.0
FAC0029,0.9997132577498118,1.0
FAC0030,0.9997316589680774,1.0
FAC0031,0.9996309458314213,1.0
FAC0032,0.9997011718929152,1.0
FAC0033,0.9997431067786932,1.0
FAC0034,0.9996309458314213,1.0
FAC0035,0.9996632697127916,1.0
FAC0036,0.9996309458314213,1.0
FAC0037,0.9996923160520514,1.0
FAC0038,0.9997132698720609,1.0
FAC0039,0.9996961230586593,1.0
FAC0040,0.9997225694669405,1.0
FAC0041,0.9996961116242716,1.0
FAC0042,0.9996309458314213,1.0
FAC0043,0.9996309458314213,1.0
FAC0044,0.9996961230586593,1.0
FAC0045,0.9997152509019223,1.0
FAC0046,0.9996434735189089,1.0
FAC0047,0.9997657229838549,1.0
FAC0048,0.9997313186817897,1.0
FAC0049,0.9997011718929152,1.0
FAC0050,0.9997017694946141,1.0
FAC0051,0.9996749191585227,1.0
FAC0052,0.9996608756409292,1.0
FAC0053,0.9996434735189089,1.0
FAC0054,0.9996309458314213,1.0
FAC0055,0.9997152401870787,1.0
FAC0056,0.999765732963205,1.0
FAC0057,0.999665436382089,1.0
FAC0058,0.9997313186817897,1.0
FAC0059,0.9996514373847486,1.0
FAC0060,0.9996107268035015,1.0
FAC0061,0.999647958600832,1.0
FAC0062,0.999678274003564,1.0
FAC0063,0.9996309458314213,1.0
FAC0064,0.9997302988430157,1.0
FAC0065,0.9997144776106293,1.0
FAC0066,0.9997152509019223,1.0
FAC0067,0.9996967697167461,1.0
FAC0068,0.9996551332426171,1.0
FAC0069,0.9996961116242716,1.0
FAC0070,0.999630959716893,1.0
FAC0071,0.9997152401870787,1.0
FAC0072,0.9996961230586593,1.0
FAC0073,0.9997152401870787,1.0
FAC0074,0.9996309458314213,1.0
FAC0075,0.9997152401870787,1.0
FAC0076,0.9996309458314213,1.0
FAC0077,0.9997258168247566,1.0
FAC0078,0.9996514373847486,1.0
FAC0079,0.9996980920616569,1.0
FAC0080,0.9996012554855177,1.0
FAC0081,0.9996961230586593,1.0
FAC0082,0.9996434735189089,1.0
FAC0083,0.9997152401870787,1.0
FAC0084,0.9996233807897965,1.0
FAC0085,0.9996514373847486,1.0
FAC0086,0.9996923044744565,1.0
FAC0087,0.9996633583547045,1.0
FAC0088,0.9997152401870787,1.0
FAC0089,0.9996961116242716,1.0
FAC0090,0.9997452120149416,1.0
FAC0091,0.9996309458314213,1.0
FAC0092,0.9997011718929152,1.0
FAC0093,0.9997117561766473,1.0
FAC0094,0.9998179490918075,1.0
FAC0095,0.9996309458314213,1.0
FAC0096,0.9996769472489337,1.0
FAC0097,0.9997067355775391,1.0
FAC0098,0.9997199820211868,1.0
FAC0099,0.999731283190728,1.0
FAC0100,0.9996514373847486,1.0
FAC0101,0.9996309458314213,1.0
FAC0102,0.999678274003564,1.0
FAC0103,0.9997257627019079,1.0
FAC0104,0.9996309458314213,1.0
FAC0105,0.9996476586900547,1.0
FAC0106,0.9997344729354429,1.0
FAC0107,0.9996012404828436,1.0
FAC0108,0.9996309458314213,1.0
FAC0109,0.9997152509019223,1.0
FAC0110,0.9997313186817897,1.0
FAC0111,0.9997344729354429,1.0
FAC0112,0.9996757315578046,1.0
FAC0113,0.9996012404828436,1.0
FAC0114,0.999687720663375,1.0
FAC0115,0.9996434735189089,1.0
FAC0116,0.9996514373847486,1.0
FAC0117,0.9996258350358712,1.0
FAC0118,0.9996309458314213,1.0
FAC0119,0.9998194249035005,1.0
FAC0120,0.9997258168247566,1.0
FAC0121,0.9997697989670935,1.0
FAC0122,0.9997162571526054,1.0
FAC0123,0.99979098987618,1.0
FAC0124,0.9997066511407695,1.0
FAC0125,0.9997795222188869,1.0
FAC0126,0.9997152509019223,1.0
FAC0127,0.9998194249035005,1.0
FAC0128,0.9997227390963259,1.0
FAC0129,0.9997217100907512,1.0
FAC0130,0.9996961116242716,1.0
FAC0131,0.9997199820211868,1.0
FAC0132,0.9996551332426171,1.0
FAC0133,0.9997154983415016,1.0
FAC0134,0.9996820507908523,1.0
FAC0135,0.9998194249035005,1.0
FAC0136,0.9996894045254859,1.0
FAC0137,0.9996434735189089,1.0
FAC0138,0.9996514373847486,1.0
FAC0139,0.9996514373847486,1.0
FAC0140,0.9997117561766473,1.0
FAC0141,0.9997152401870787,1.0
FAC0142,0.9996309458314213,1.0
FAC0143,0.9996309458314213,1.0
FAC0144,0.9998194249035005,1.0
FAC0145,0.9997170959990967,1.0
FAC0146,0.9997066511407695,1.0
FAC0147,0.9997238710657468,1.0
FAC0148,0.9997132698720609,1.0
FAC0149,0.9997795222188869,1.0
FAC0150,0.9997199820211868,1.0
FAC0151,0.9997170959990967,1.0
FAC0152,0.999678274003564,1.0
FAC0153,0.9996593596033504,1.0
FAC0154,0.9997593734307574,1.0
FAC0155,0.99963972572907,1.0
FAC0156,0.9996434735189089,1.0
FAC0157,0.9997152401870787,1.0
FAC0158,0.9998194249035005,1.0
FAC0159,0.9997313186817897,1.0
FAC0160,0.9997446497068839,1.0
FAC0161,0.9996923044744565,1.0
FAC0162,0.9997066511407695,1.0
FAC0163,0.9997491907034025,1.0
FAC0164,0.9997132698720609,1.0
FAC0165,0.9997344729354429,1.0
FAC0166,0.9997978312783111,1.0
FAC0167,0.9996514373847486,1.0
FAC0168,0.9997271990088201,1.0
FAC0169,0.9996309458314213,1.0
FAC0170,0.9997170959990967,1.0
FAC0171,0.9996514373847486,1.0
FAC0172,0.9996309458314213,1.0
FAC0173,0.9997242395414203,1.0
FAC0174,0.9997132577498118,1.0
FAC0175,0.999734675687201,1.0
FAC0176,0.999678274003564,1.0
FAC0177,0.9996979463859774,1.0
FAC0178,0.9998265960186156,1.0
FAC0179,0.99968083882492,1.0
FAC0180,0.9997271990088201,1.0
FAC0181,0.9997271990088201,1.0
